ConfigID,R1A,R1B,R1C,R2A,R2B,R2C,R3A,R3B,R3C,R4A,R4B,R4C,SwitchStates,Status,Voltage_V,VoltageGroup,ConnectionClass,CellsInSeries,ActiveCells
#0000,0,0,0,0,0,0,0,0,0,0,0,0,000 000 000 000,valid,0,0 V (no output),none,0,""
#0001,1,0,0,0,0,0,0,0,0,0,0,0,100 000 000 000,valid,0,0 V (no output),none,0,""
#0002,0,1,0,0,0,0,0,0,0,0,0,0,010 000 000 000,valid,0,0 V (no output),none,0,""
#0003,1,1,0,0,0,0,0,0,0,0,0,0,110 000 000 000,valid,0,0 V (no output),none,0,""
#0004,0,0,1,0,0,0,0,0,0,0,0,0,001 000 000 000,valid,0,0 V (no output),none,0,""
#0005,1,0,1,0,0,0,0,0,0,0,0,0,101 000 000 000,valid,0,0 V (no output),none,0,""
#0006,0,1,1,0,0,0,0,0,0,0,0,0,011 000 000 000,valid,0,0 V (no output),none,0,""
#0007,1,1,1,0,0,0,0,0,0,0,0,0,111 000 000 000,valid,0,0 V (no output),none,0,""
#0008,0,0,0,1,0,0,0,0,0,0,0,0,000 100 000 000,valid,0,0 V (no output),none,0,""
#0009,1,0,0,1,0,0,0,0,0,0,0,0,100 100 000 000,valid,0,0 V (no output),none,0,""
#0010,0,1,0,1,0,0,0,0,0,0,0,0,010 100 000 000,valid,0,0 V (no output),none,0,""
#0011,1,1,0,1,0,0,0,0,0,0,0,0,110 100 000 000,valid,0,0 V (no output),none,0,""
#0012,0,0,1,1,0,0,0,0,0,0,0,0,001 100 000 000,valid,0,0 V (no output),none,0,""
#0013,1,0,1,1,0,0,0,0,0,0,0,0,101 100 000 000,short-circuit,0,Short Circuit,none,0,""
#0014,0,1,1,1,0,0,0,0,0,0,0,0,011 100 000 000,valid,0,0 V (no output),none,0,""
#0015,1,1,1,1,0,0,0,0,0,0,0,0,111 100 000 000,short-circuit,0,Short Circuit,none,0,""
#0016,0,0,0,0,1,0,0,0,0,0,0,0,000 010 000 000,valid,0,0 V (no output),none,0,""
#0017,1,0,0,0,1,0,0,0,0,0,0,0,100 010 000 000,valid,0,0 V (no output),none,0,""
#0018,0,1,0,0,1,0,0,0,0,0,0,0,010 010 000 000,valid,0,0 V (no output),none,0,""
#0019,1,1,0,0,1,0,0,0,0,0,0,0,110 010 000 000,valid,0,0 V (no output),none,0,""
#0020,0,0,1,0,1,0,0,0,0,0,0,0,001 010 000 000,valid,0,0 V (no output),none,0,""
#0021,1,0,1,0,1,0,0,0,0,0,0,0,101 010 000 000,valid,0,0 V (no output),none,0,""
#0022,0,1,1,0,1,0,0,0,0,0,0,0,011 010 000 000,short-circuit,0,Short Circuit,none,0,""
#0023,1,1,1,0,1,0,0,0,0,0,0,0,111 010 000 000,short-circuit,0,Short Circuit,none,0,""
#0024,0,0,0,1,1,0,0,0,0,0,0,0,000 110 000 000,valid,0,0 V (no output),none,0,""
#0025,1,0,0,1,1,0,0,0,0,0,0,0,100 110 000 000,valid,0,0 V (no output),none,0,""
#0026,0,1,0,1,1,0,0,0,0,0,0,0,010 110 000 000,valid,0,0 V (no output),none,0,""
#0027,1,1,0,1,1,0,0,0,0,0,0,0,110 110 000 000,valid,0,0 V (no output),none,0,""
#0028,0,0,1,1,1,0,0,0,0,0,0,0,001 110 000 000,valid,0,0 V (no output),none,0,""
#0029,1,0,1,1,1,0,0,0,0,0,0,0,101 110 000 000,short-circuit,0,Short Circuit,none,0,""
#0030,0,1,1,1,1,0,0,0,0,0,0,0,011 110 000 000,short-circuit,0,Short Circuit,none,0,""
#0031,1,1,1,1,1,0,0,0,0,0,0,0,111 110 000 000,short-circuit,0,Short Circuit,none,0,""
#0032,0,0,0,0,0,1,0,0,0,0,0,0,000 001 000 000,valid,0,0 V (no output),none,0,""
#0033,1,0,0,0,0,1,0,0,0,0,0,0,100 001 000 000,valid,0,0 V (no output),none,0,""
#0034,0,1,0,0,0,1,0,0,0,0,0,0,010 001 000 000,valid,0,0 V (no output),none,0,""
#0035,1,1,0,0,0,1,0,0,0,0,0,0,110 001 000 000,valid,0,0 V (no output),none,0,""
#0036,0,0,1,0,0,1,0,0,0,0,0,0,001 001 000 000,valid,0,0 V (no output),none,0,""
#0037,1,0,1,0,0,1,0,0,0,0,0,0,101 001 000 000,valid,0,0 V (no output),none,0,""
#0038,0,1,1,0,0,1,0,0,0,0,0,0,011 001 000 000,valid,0,0 V (no output),none,0,""
#0039,1,1,1,0,0,1,0,0,0,0,0,0,111 001 000 000,valid,0,0 V (no output),none,0,""
#0040,0,0,0,1,0,1,0,0,0,0,0,0,000 101 000 000,valid,0,0 V (no output),none,0,""
#0041,1,0,0,1,0,1,0,0,0,0,0,0,100 101 000 000,valid,0,0 V (no output),none,0,""
#0042,0,1,0,1,0,1,0,0,0,0,0,0,010 101 000 000,valid,0,0 V (no output),none,0,""
#0043,1,1,0,1,0,1,0,0,0,0,0,0,110 101 000 000,valid,0,0 V (no output),none,0,""
#0044,0,0,1,1,0,1,0,0,0,0,0,0,001 101 000 000,valid,0,0 V (no output),none,0,""
#0045,1,0,1,1,0,1,0,0,0,0,0,0,101 101 000 000,short-circuit,0,Short Circuit,none,0,""
#0046,0,1,1,1,0,1,0,0,0,0,0,0,011 101 000 000,valid,0,0 V (no output),none,0,""
#0047,1,1,1,1,0,1,0,0,0,0,0,0,111 101 000 000,short-circuit,0,Short Circuit,none,0,""
#0048,0,0,0,0,1,1,0,0,0,0,0,0,000 011 000 000,valid,0,0 V (no output),none,0,""
#0049,1,0,0,0,1,1,0,0,0,0,0,0,100 011 000 000,valid,0,0 V (no output),none,0,""
#0050,0,1,0,0,1,1,0,0,0,0,0,0,010 011 000 000,valid,0,0 V (no output),none,0,""
#0051,1,1,0,0,1,1,0,0,0,0,0,0,110 011 000 000,valid,0,0 V (no output),none,0,""
#0052,0,0,1,0,1,1,0,0,0,0,0,0,001 011 000 000,valid,0,0 V (no output),none,0,""
#0053,1,0,1,0,1,1,0,0,0,0,0,0,101 011 000 000,valid,0,0 V (no output),none,0,""
#0054,0,1,1,0,1,1,0,0,0,0,0,0,011 011 000 000,short-circuit,0,Short Circuit,none,0,""
#0055,1,1,1,0,1,1,0,0,0,0,0,0,111 011 000 000,short-circuit,0,Short Circuit,none,0,""
#0056,0,0,0,1,1,1,0,0,0,0,0,0,000 111 000 000,valid,0,0 V (no output),none,0,""
#0057,1,0,0,1,1,1,0,0,0,0,0,0,100 111 000 000,valid,0,0 V (no output),none,0,""
#0058,0,1,0,1,1,1,0,0,0,0,0,0,010 111 000 000,valid,0,0 V (no output),none,0,""
#0059,1,1,0,1,1,1,0,0,0,0,0,0,110 111 000 000,valid,0,0 V (no output),none,0,""
#0060,0,0,1,1,1,1,0,0,0,0,0,0,001 111 000 000,valid,0,0 V (no output),none,0,""
#0061,1,0,1,1,1,1,0,0,0,0,0,0,101 111 000 000,short-circuit,0,Short Circuit,none,0,""
#0062,0,1,1,1,1,1,0,0,0,0,0,0,011 111 000 000,short-circuit,0,Short Circuit,none,0,""
#0063,1,1,1,1,1,1,0,0,0,0,0,0,111 111 000 000,short-circuit,0,Short Circuit,none,0,""
#0064,0,0,0,0,0,0,1,0,0,0,0,0,000 000 100 000,valid,0,0 V (no output),none,0,""
#0065,1,0,0,0,0,0,1,0,0,0,0,0,100 000 100 000,valid,0,0 V (no output),none,0,""
#0066,0,1,0,0,0,0,1,0,0,0,0,0,010 000 100 000,valid,0,0 V (no output),none,0,""
#0067,1,1,0,0,0,0,1,0,0,0,0,0,110 000 100 000,valid,0,0 V (no output),none,0,""
#0068,0,0,1,0,0,0,1,0,0,0,0,0,001 000 100 000,valid,0,0 V (no output),none,0,""
#0069,1,0,1,0,0,0,1,0,0,0,0,0,101 000 100 000,valid,0,0 V (no output),none,0,""
#0070,0,1,1,0,0,0,1,0,0,0,0,0,011 000 100 000,valid,0,0 V (no output),none,0,""
#0071,1,1,1,0,0,0,1,0,0,0,0,0,111 000 100 000,valid,0,0 V (no output),none,0,""
#0072,0,0,0,1,0,0,1,0,0,0,0,0,000 100 100 000,valid,0,0 V (no output),none,0,""
#0073,1,0,0,1,0,0,1,0,0,0,0,0,100 100 100 000,valid,0,0 V (no output),none,0,""
#0074,0,1,0,1,0,0,1,0,0,0,0,0,010 100 100 000,valid,0,0 V (no output),none,0,""
#0075,1,1,0,1,0,0,1,0,0,0,0,0,110 100 100 000,valid,0,0 V (no output),none,0,""
#0076,0,0,1,1,0,0,1,0,0,0,0,0,001 100 100 000,valid,0,0 V (no output),none,0,""
#0077,1,0,1,1,0,0,1,0,0,0,0,0,101 100 100 000,short-circuit,0,Short Circuit,none,0,""
